strain	date	url	pango_lineage	genbank_accession	S1_mutations	clade_membership	recency	mutational_fitness	epiweek	region	emerging_lineage	host	country	division	current_frequency	author	accession	originating_lab	submitting_lab	logistic_growth
Iceland/13/2020	2020-02-27		B	OU161584	1.00	19A	Older	-0.07	202009	Europe		Homo sapiens	Iceland	Iceland		Jonsson et al A		The National University Hospital of Iceland	DECODE GENETICS	
LR884071	2020-03-11		B	LR884071		19A	Older	-0.11	202011	Europe		Homo sapiens	Spain	Spain		Viedma et al A		Hospital Universitario La Paz	HOSPITAL UNIVERSITARY 12 DE OCTUBRE	
NZL/20VR1763/2020	2020-03-25		B.31	OK426528		19A	Older	-0.06	202013	Oceania		Homo sapiens	New Zealand	Southland		Ren et al A		Southern Community Labs Dunedin	Institute of Environmental Science and Research	
NZL/20VR1785/2020	2020-03-26		B.31	OK426729		19A	Older	-0.06	202013	Oceania		Homo sapiens	New Zealand	Southland		Ren et al B		Southern Community Labs Dunedin	Institute of Environmental Science and Research	
KOR/KCDC31-NCCP43342/2020	2020-07-28		B	MW466797		19A	Older	-0.11	202031	Asia		Homo sapiens	South Korea	South Korea		Kim et al A				
GRC/53_38017/2020	2020-04-04		B.40	MT459847		19A	Older	-0.14	202014	Europe		Homo sapiens	Greece	Athens		Kassela et al A				
BRA/SP02/2020	2020-02-28		B	MT126808		19A	Older	-0.10	202009	South America		Homo sapiens	Brazil	Brazil		Amgarten et al				
TLS/TL25/2020	2020-03-30		B.35	MT641778		19A	Older	-0.06	202014	Asia		Homo sapiens	Timor-Leste	Timor-Leste		Caly et al D		National Health Laboratory, Timor-Leste	The Peter Doherty Institute for Infection and Immunity	
BRA/SP02cc/2020	2020-03-18		B	MT350282	1.00	19A	Older	-0.10	202012	South America		Homo sapiens	Brazil	Brazil		Malta et al A				
PER/covper065/2020	2020-03-16		B	MW030205		19A	Older	-0.00	202012	South America		Homo sapiens	Peru	Peru		Juscamayta et al A				
AUS/TAS121/2020	2020-03-20		B.33	MT973435		19A	Older	-0.10	202012	Oceania		Homo sapiens	Australia	Tasmania		Sait et al A		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
PER/covper074/2020	2020-03-13		B	MW030214		19A	Older	-0.10	202011	South America		Homo sapiens	Peru	Peru		Juscamayta et al B				
KOR/CNUHV03-CA22/2020	2020-05-20		A	MT810119	2.00	19B	Older	-0.04	202021	Asia		Homo sapiens	South Korea	South Korea		Seo et al				
GBR/SARS-CoV-2Engl2/2020	2020-01-29		B	OK041134		19B	Older	-0.06	202005	Europe		Homo sapiens	United Kingdom	United Kingdom		Szemiel et al		MRC-University of Glasgow Centre for Virus Research	MRC-University of Glasgow Centre for Virus Research	
THA/SI202205-NT/2020	2020-02-07		A	MT447162		19B	Older	-0.05	202006	Asia		Homo sapiens	Thailand	Thailand		Rodpan et al B				
USA/TX-CDC-03050000-001/2020	2020-02-11		A	MT106054		19B	Older	-0.02	202007	North America		Homo sapiens	USA	Texas		Queen et al A				
THA/SI204514-NT/2020	2020-03-12		A.6	MT447169		19B	Older	-0.06	202011	Asia		Homo sapiens	Thailand	Thailand		Rodpan et al C				
KHM/Kunming_kms-2/2020	2020-03-21		A.6	MW341443		19B	Older	-0.06	202012	Asia		Homo sapiens	Cambodia	Phnom Penh		Li et al A				
KOR/KCDC05/2020	2020-01-30		A	MT126746		19B	Older	-0.06	202005	Asia		Homo sapiens	South Korea	South Korea		Kim et al B				
KOR/KCDC05-NCCP43327/2020	2020-03-17		A	MW466792		19B	Older	-0.05	202012	Asia		Homo sapiens	South Korea	South Korea		Kim et al C				
USA/IL-CDC-03037667-001/2020	2020-01-28		A	MT044257		19B	Older	-0.09	202005	North America		Homo sapiens	USA	Illinois		Li et al B				
USA/IL-RUSH-COVID-0061/2020	2020-05-05		A	MZ363509		19B	Older	-0.13	202019	North America		Homo sapiens	USA	Illinois		Forberg et al				
USA/GA-CDC-03068926-001/2020	2020-03-10		A	MT325575		19B	Older	0.02	202011	North America		Homo sapiens	USA	Georgia		Li et al C				
USA/COVID20-0882/2020	2020-06-26		A.3	MW006606		19B	Older	-0.05	202026	North America		Homo sapiens	USA	South Carolina		Flores et al A				
USA/IL-UW-126/2020	2020-04-11		A.3	MT706254		19B	Older	-0.11	202015	North America		Homo sapiens	USA	Illinois		Moreno et al A		UWHC	UW-Madison	
USA/MD-MDH-0193/2020	2020-04-20		A.3	MW048997		19B	Older	-0.12	202017	North America		Homo sapiens	USA	Maryland		Keller et al A				
USA/COVID20-0099/2020	2020-04-24		A.3	MT764184		19B	Older	-0.12	202017	North America		Homo sapiens	USA	South Carolina		Flores et al B				
ESP/Valencia6/2020	2020-02-27		A.2	MT233521		19B	Older	-0.06	202009	Europe		Homo sapiens	Spain	Comunitat Valenciana		Bracho et al				
VEN/1Z/2020	2020-03-16		A.2	MT907515	1.00	19B	Older	-0.07	202012	South America		Homo sapiens	Venezuela	Venezuela		Loureiro et al A				
CHL/2020-26639/2020	2020-03-17		A.2	MT670018	1.00	19B	Older	-0.06	202012	South America		Homo sapiens	Chile	Chile		Gaete et al A				
PRY/202102890_56300/2021	2021-03-16		A.2.5.2	ON017465	4.00	19B	Older	0.34	202111	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al A				
PRY/202102904_58285/2021	2021-03-17		A.2.5.2	ON017475	4.00	19B	Older	0.35	202111	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al B				
PRY/WOR12903A862_202103451_202103451_2-4754120/2021	2021-07-07		A.2.5.2	ON017300	5.00	19B	Older	0.34	202127	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al C				
PER/covper069/2020	2020-03-18		A.2	MW030209		19B	Older	-0.06	202012	South America		Homo sapiens	Peru	Peru		Juscamayta et al C				
PER/covper092/2020	2020-03-22		A.2	MW030228		19B	Older	-0.06	202013	South America		Homo sapiens	Peru	Peru		Juscamayta et al D				
NZL/20CV0302/2020	2020-03-29		A.2.2	OK426939		19B	Older	-0.01	202014	Oceania		Homo sapiens	New Zealand	Hawkes Bay		Ren et al C		Canterbury Health Laboratories	Institute of Environmental Science and Research	
AUS/TAS11/2020	2020-04-14		A.2.2	MT973345		19B	Older	0.00	202016	Oceania		Homo sapiens	Australia	Tasmania		Sait et al B		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
AUS/TAS158/2020	2020-05-03		A.2.2	MT973468	1.00	19B	Older	0.03	202019	Oceania		Homo sapiens	Australia	Tasmania		Sait et al C		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
AUS/TAS17/2020	2020-04-13		A.2.2	MT973375		19B	Older	0.00	202016	Oceania		Homo sapiens	Australia	Tasmania		Sait et al D		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
AUS/TAS260/2020	2020-05-08		A.2.2	MT973326		19B	Older	0.00	202019	Oceania		Homo sapiens	Australia	Tasmania		Sait et al E		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
CHN/Hefei-806/2020	2020-02-26		A	MZ824655		19B	Older	-0.07	202009	Asia		Homo sapiens	China	China		Cheng et al A				
USA/WA1_calu3_stock/2020	2020-01-19		A	OM301683		19B	Older	-0.06	202004	North America		Homo sapiens	USA	Washington		Fox et al				
USA/OR-QDX-1634/2020	2020-03-18		A.1	MW190447		19B	Older	-0.14	202012	North America		Homo sapiens	USA	Oregon		Rosenthal et al A		Quest Diagnostics	Quest Diagnostics	
AUS/TAS151/2020	2020-03-28		A.1	MT973464		19B	Older	-0.14	202013	Oceania		Homo sapiens	Australia	Tasmania		Sait et al F		Royal Hobart Hospital Microbiology Department	The Peter Doherty Institute for Infection and Immunity	
USA/NC-CDC-03068181-001/2020	2020-03-06		A.1	MT325591		19B	Older	-0.13	202010	North America		Homo sapiens	USA	North Carolina		Li et al D				
NZL/20VR2014/2020	2020-04-01		A.1	OK426566		19B	Older	-0.14	202014	Oceania		Homo sapiens	New Zealand	Wellington		Ren et al D		Wellington SCL (WN)	Institute of Environmental Science and Research	
NZL/20CV0303/2020	2020-03-30		A.1	OK426743		19B	Older	-0.14	202014	Oceania		Homo sapiens	New Zealand	Hawkes Bay		Ren et al E		Canterbury Health Laboratories	Institute of Environmental Science and Research	
USA/CO-QDX-2348/2020	2020-03-16		A.1	MW191122		19B	Older	-0.13	202012	North America		Homo sapiens	USA	Colorado		Rosenthal et al B		Quest Diagnostics	Quest Diagnostics	
USA/MT-BHDH-074/2020	2020-05-27		A.1	MW861359		19B	Older	-0.13	202022	North America		Homo sapiens	USA	Montana		Nemudryi et al A				
PER/covper066/2020	2020-03-16		A.1	MW030206		19B	Older	-0.13	202012	South America		Homo sapiens	Peru	Peru		Juscamayta et al E				
BEL/GHB-03021/2020	2020-02-03		A	MW368439	2.00	19B	Older	-0.01	202006	Europe		Homo sapiens	Belgium	Belgium		Baggen et al				
PRY/WOR12903A600_202103266_2-4710511/2020	2020-03-08		A.5	ON017219		19B	Older	0.01	202011	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al D				
COL/79256_Antioquia/2020	2020-03-11		A.5	MT256924		19B	Older	-0.06	202011	South America		Homo sapiens	Colombia	Antioquia		Mercado-Reyes et al				
URY/Mdeo-1/2020	2020-03-13		A.5	MT466071		19B	Older	-0.06	202011	South America		Homo sapiens	Uruguay	Uruguay		Panzera et al A				
PRY/WOR12903A659_202103274_2-4710620/2020	2020-04-09		A.5	ON017230		19B	Older	-0.06	202015	South America		Homo sapiens	Paraguay	Paraguay		Vazquez et al E				
PER/covper087/2020	2020-03-21		A.5	MW030223		19B	Older	-0.06	202012	South America		Homo sapiens	Peru	Peru		Juscamayta et al F				
MLI/M00959/2020	2020-06-10		A.21	OL448870	1.00	19B	Older	0.04	202024	Africa		Homo sapiens	Mali	Mali		Dara et al				
AUS/VIC07/2020	2020-02-08		A	MT450924		19B	Older	-0.04	202006	Oceania		Homo sapiens	Australia	Victoria		Seemann et al B		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
SLE/KGH-G-8626/2020	2020-04-10		A.12	MT872492		19B	Older	-0.02	202015	Africa		Homo sapiens	Sierra Leone	Sierra Leone		Goba et al A		Kenema Government Hospital	Kenema Government Hospital	
SLE/KGH-G-8625/2020	2020-04-10		A.12	MT872496		19B	Older	-0.02	202015	Africa		Homo sapiens	Sierra Leone	Sierra Leone		Goba et al B		Kenema Government Hospital	Kenema Government Hospital	
TUR/Tur-P9/2020	2020-09-12		A	ON653598		19B	One month ago	-0.02	202037	Europe		Homo sapiens	Turkey	Turkey		Onen et al				
MLI/UCRC31/2020	2020-03-31		A	MW474741		19B	Older	0.02	202014	Africa		Homo sapiens	Mali	Mali		Diarra et al A				
GHA/WACCBIP_nCoV_GS28/2020	2020-07-21		A	MW523409	1.00	19B	Older	0.02	202030	Africa		Homo sapiens	Ghana	Ghana		Ngoi et al A				
EGY/CUNCI-HGC9I036/2020	2020-12-25		A.28	MW504609	5.00	19B	Older	0.24	202052	Africa		Homo sapiens	Egypt	Egypt		Zekri et al A				
TUN/COV0010-12/2020	2020-03-18		A	MT499215		19B	Older	-0.04	202012	Africa		Homo sapiens	Tunisia	Tunisia		Fares et al A				
ITA/PA-IZSBM193-85_2020/2020	2020-06-29		A	MW340799		19B	Older	-0.06	202027	Europe		Homo sapiens	Italy	Sicily		Tramuto et al				
GHA/2573_S27/2020	2020-03-29		A	MT890227		19B	Older	-0.04	202014	Africa		Homo sapiens	Ghana	Ghana		Ngoi et al B				
GHA/3176_S11/2020	2020-03-30		A	MT890218		19B	Older	-0.04	202014	Africa		Homo sapiens	Ghana	Ghana		Ngoi et al C				
GHA/84162_S45/2020	2020-04-25		A	MT890242		19B	Older	-0.04	202017	Africa		Homo sapiens	Ghana	Ghana		Ngoi et al D				
BEN/2012/2020	2020-04-15		A	MT653080		19B	Older	-0.04	202016	Africa		Homo sapiens	Benin	Benin		Sander et al A				
AUS/QLD02/2020	2020-07-20		A	MW772455		19B	Older	-0.04	202030	Oceania		Homo sapiens	Australia	Australia		Parry et al A				
NZL/20CV0317/2020	2020-04-01		A	OK426481		19B	Older	-0.04	202014	Oceania		Homo sapiens	New Zealand	Hawkes Bay		Ren et al F		Canterbury Health Laboratories	Institute of Environmental Science and Research	
GHA/35563_S37/2020	2020-05-24		A.11	MT890230		19B	Older	-0.03	202022	Africa		Homo sapiens	Ghana	Ghana		Ngoi et al E				
GHA/1651_S3/2020	2020-03-25		A.11	MT890220		19B	Older	-0.04	202013	Africa		Homo sapiens	Ghana	Ghana		Ngoi et al F				
NZL/20VR3131/2020	2020-06-16		A.11	OK433260		19B	Older	-0.04	202025	Oceania		Homo sapiens	New Zealand	New Zealand		Ren et al G		Wellington SCL (WN)	Institute of Environmental Science and Research	
LR963416	2020-03-01		A	LR963416		19B	Older	-0.03	202010	Africa		Homo sapiens	Zimbabwe	Zimbabwe		Alikhan et al A		National Microbiology Reference Laboratory	Quadram Institute Bioscience	
ETH/S13/2021	2021-02-01		A	OL840814	2.00	19B	Older	0.03	202105	Africa		Homo sapiens	Ethiopia	Addis Ababa		Bitew et al A				
SouthAfrica/NHLS-UCT-GS-2931/2020	2020-05-09		A	OM739099		19B	Older	0.00	202019	Africa		Homo sapiens	South Africa	South Africa		Viana et al A				
UZB/hCoV-19-Uzb-CGB-25/2020	2020-12-07		A.24	MW853569	2.00	19B	Older	0.03	202050	Asia		Homo sapiens	Uzbekistan	Tashkent		Ayubov et al A				
UGA/MUWRP-KIR200040S/2020	2020-07-31		A.25	OM811375		19B	Older	-0.01	202031	Africa		Homo sapiens	Uganda	Uganda		Byarugaba et al A				
UGA/MAKCHScov6/2020	2020-09-30		A.23	MZ287350	3.00	19B	Older	0.09	202040	Africa		Homo sapiens	Uganda	Uganda		Mwesigwa et al A				
KEN/K98270/2020	2020-12-11		A.23	OL913226	3.00	19B	Older	0.08	202050	Africa		Homo sapiens	Kenya	Kenya		Githinji et al A				
UGA/MAKCHScov21/2021	2021-01-13		A.23.1	MZ287349	4.00	19B	Older	0.11	202102	Africa		Homo sapiens	Uganda	Uganda		Mwesigwa et al B				
USA/MA-MGH-04099/2021	2021-02-05		A.23.1	MW687512	5.00	19B	Older	0.10	202105	North America		Homo sapiens	USA	Massachusetts		Lemieux et al A		Massachusetts General Hospital	Broad Institute Genomic Center for Infectious Diseases	
UGA/MAKCHScov20/2021	2021-01-13		A.23.1	MZ287355	4.00	19B	Older	0.12	202102	Africa		Homo sapiens	Uganda	Uganda		Mwesigwa et al C				
UGA/MAKCHScov15/2020	2020-11-10		A.23.1	MZ287365	4.00	19B	Older	0.12	202046	Africa		Homo sapiens	Uganda	Uganda		Mwesigwa et al D				
UGA/MAKCHScov3/2020	2020-11-01		A.23.1	MZ287366	4.00	19B	Older	0.12	202045	Africa		Homo sapiens	Uganda	Uganda		Mwesigwa et al E				
UGA/MAKCHScov16/2020	2020-11-14		A.23.1	MZ287368	5.00	19B	Older	0.12	202046	Africa		Homo sapiens	Uganda	Uganda		Mwesigwa et al F				
UGA/MUWRP-JIN200272S/2020	2020-12-15		A.23.1	OM811358	5.00	19B	Older	0.11	202051	Africa		Homo sapiens	Uganda	Uganda		Byarugaba et al B				
UGA/MAKCHScov30/2021	2021-01-13		A.23.1	MZ287352	7.00	19B	Older	0.13	202102	Africa		Homo sapiens	Uganda	Uganda		Mwesigwa et al G				
UGA/MUWRP-MUL200468/2020	2020-12-08		A.23.1	OM811365	5.00	19B	Older	0.11	202050	Africa		Homo sapiens	Uganda	Uganda		Byarugaba et al C				
UGA/MUWRP-MUL200469/2020	2020-12-08		A.23.1	OM811366	5.00	19B	Older	0.11	202050	Africa		Homo sapiens	Uganda	Uganda		Byarugaba et al D				
CHN/Beijing_IME-BJ05/2020	2020-01-27		B	MT291835	1.00	19A	Older	0.02	202005	Asia		Homo sapiens	China	Beijing		Fan et al				
Wuhan/IPBCAMS-WH-04/2019	2019-12-30		B	MT019532		19A	Older		202001	Asia		Homo sapiens	China	Hubei		Ren et al H				
NPL/61-TW/2020	2020-01-13		B	MT072688		19A	Older		202003	Asia		Homo sapiens	Nepal	Nepal		Bastola et al				
Japan/DP0457/2020	2020-02-16		B	LC570999		19A	Older	0.02	202008	Asia		Homo sapiens	Japan	Japan		Sekizuka et al A				
AUS/NT05/2020	2020-02-24		B.5	MT641648		19A	Older	-0.00	202009	Oceania		Homo sapiens	Australia	Northern Territory		Caly et al E		Royal Darwin Hospital	The Peter Doherty Institute for Infection and Immunity	
AUS/NT04/2020	2020-02-22		B	MT641647		19A	Older	-0.00	202008	Oceania		Homo sapiens	Australia	Northern Territory		Caly et al F		Royal Darwin Hospital	The Peter Doherty Institute for Infection and Immunity	
TLS/TL06/2020	2020-04-11		B.6	MT612282		19A	Older	-0.06	202015	Asia		Homo sapiens	Timor-Leste	Timor-Leste		Caly et al G		National Health Laboratory, Timor-Leste	The Peter Doherty Institute for Infection and Immunity	
NZL/20CV0306/2020	2020-03-30		B.6	OK426616		19A	Older	-0.06	202014	Oceania		Homo sapiens	New Zealand	Manawatu-Whanganui		Ren et al I		Canterbury Health Laboratories	Institute of Environmental Science and Research	
IND/THSTI-BAL-39/2020	2020-04-07		B.6	MZ356522		19A	Older	-0.07	202015	Asia		Homo sapiens	India	India		Kumar et al A				
IND/GMCKN443/2020	2020-03-16		B.6	MT415322		19A	Older	-0.06	202012	Asia		Homo sapiens	India	India		Kammili et al				
USA/CA-QDX-1412/2020	2020-03-18		B.6	MW065362		19A	Older	-0.06	202012	North America		Homo sapiens	USA	California		Rosenthal et al C		Quest Diagnostics	Quest Diagnostics	
PHL/GS/2020	2020-04-03		B.6	MT919768		19A	Older	-0.06	202014	Asia		Homo sapiens	Philippines	Manila		Velasco et al A				
PAK/SARS-CoV-2_118/2020	2020-04-25		B.6	MW422099		19A	Older	-0.06	202017	Asia		Homo sapiens	Pakistan	Islamabad Capital Territory		Badar et al A				
IRN/COVID19-IRVSH6/2020	2020-05-01		B.4.6	MT994881	1.00	19A	Older	-0.12	202018	Asia		Homo sapiens	Iran	Iran		Shahabzadeh et al				
IRQ/IRQ-BAS2/2020	2020-10-01		B.4	MW546610		19A	Older	-0.11	202040	Asia		Homo sapiens	Iraq	Iraq		Abu-Ali et al				
TWN/CGMH-CGU-05/2020	2020-02-27		B.4	MT370518		19A	Older	-0.15	202009	Asia		Homo sapiens	Taiwan	Taiwan		Tsao et al A				
LKA/COV38/2020	2020-03-16		B.4	MT371047		19A	Older	-0.12	202012	Asia		Homo sapiens	Sri Lanka	Sri Lanka		Jeewandara et al				
KEN/C657/2020	2020-04-13		B.4	MW751150		19A	Older	-0.09	202016	Africa		Homo sapiens	Kenya	Kenya		Githinji et al B				
GEO/MM202082/2020	2020-02-28		B.4	MT231248		19A	Older	-0.01	202009	Asia		Homo sapiens	Georgia	Georgia (Asia)		Kotorashvili et al A				
KAZ/NCB-1/2020	2020-03-20		B.4.1	MT428551		19A	Older	-0.09	202012	Asia		Homo sapiens	Kazakhstan	Kazakhstan		Shevtsov et al				
GEO/Tb-7851/2020	2020-05-01		B.4	MT786438	1.00	19A	Older	-0.11	202018	Asia		Homo sapiens	Georgia	Georgia (Asia)		Imnadze et al				
NZL/20VR0174/2020	2020-02-27		B.4	MZ331872		19A	Older	-0.11	202009	Oceania		Homo sapiens	New Zealand	New Zealand		Geoghegan et al A			Institute of Environmental Science and Research	
IRN/KHGRC-3-2178/2020	2020-03-26		B.4	MT459928	1.00	19A	Older	-0.11	202013	Asia		Homo sapiens	Iran	Iran		Abbasalipour Bashash et al A				
IRN/12624/2020	2020-04-28		B.4	MZ359830		19A	Older	-0.29	202018	Asia		Homo sapiens	Iran	Iran		Azadmanesh et al				
VNM/nCoV-19-02S/2020	2020-01-22		B	MT192773		19A	Older	-0.00	202004	Asia		Homo sapiens	Vietnam	Southeast Region		Nguyen et al A				
USA/NH-QDX-617/2020	2020-03-17		B.3	MW064686		19A	Older	-0.08	202012	North America		Homo sapiens	USA	New Hampshire		Rosenthal et al D		Quest Diagnostics	Quest Diagnostics	
HongKong/HKPU-00041/2020	2020-04-04		B.3	MZ266390		19A	Older	-0.09	202014	Asia		Homo sapiens	Hong Kong	Hong Kong		Siu et al B				
FIN/hCoV-19-Finland-1/2020	2020-01-29		B	MZ934691	2.00	19A	Older	0.04	202005	Europe		Homo sapiens	Finland	Finland		Smura et al A				
Netherlands/NA_182/2020	2020-03-22		B.11	LR877791		19A	Older	0.01	202013	Europe		Homo sapiens	Netherlands	Netherlands		Fouchier et al A			ERASMUS MC, UNIVERISTY MEDICAL CENTER	
EGY/EGY_CCHE57357_A_13/2020	2020-04-29		B.1.1	MW467428	1.00	19A	Older	-0.01	202018	Africa		Homo sapiens	Egypt	Egypt		Hatem et al A				
TWN/CGMH-CGU-01/2020	2020-01-25		B	MT192759		19A	Older		202004	Asia		Homo sapiens	Taiwan	Taiwan		Tsao et al B				
KOR/KCDC12/2020	2020-02-01		B	MT134009		19A	Older		202005	Asia		Homo sapiens	South Korea	South Korea		Kim et al D				
USA/IL-CDC-02983522-001/2020	2020-01-21		A	MN988713		19A	Older		202004	North America		Homo sapiens	USA	Illinois		Tao et al A				
AUS/VIC14/2020	2020-02-02		B	MT450931		19A	Older		202006	Oceania		Homo sapiens	Australia	Victoria		Seemann et al C		Victorian Infectious Diseases Reference Laboratory (VIDRL)	The Peter Doherty Institute for Infection and Immunity	
BRA/ICO1049/2020	2020-04-22		B	MZ419863	1.00	19A	Older	0.02	202017	South America		Homo sapiens	Brazil	Brazil		Temerozo et al A				
AUS/NT42/2020	2020-05-01		B	MT641765	1.00	19A	Older	0.02	202018	Oceania		Homo sapiens	Australia	Northern Territory		Caly et al H		Royal Darwin Hospital Pathology	The Peter Doherty Institute for Infection and Immunity	
DEU/BavPat1-ChVir929/2020	2020-01-28		B.1	MT270101	1.00	19A	Older	0.02	202005	Europe		Homo sapiens	Germany	Bavaria		Boehmer et al				
OU072899	2020-02-23		B.1	OU072899	1.00	19A	Older	0.01	202009	Europe		Homo sapiens	Germany	Bavaria		? A		Bayerisches Landesamt für Gesundheit und Lebensmittelsicherheit (LGL), Veterinärstraße 2; 85764 Oberschleißheim	Robert Koch Institute	
EGY/HCoV2-Egy-002/2020	2020-06-02		B.1	MT798592	1.00	19A	Older	-0.01	202023	Africa		Homo sapiens	Egypt	Egypt		Seadawy et al A				
EGY/Egy-S009/2020	2020-08-01		B.1	MT905421	1.00	19A	Older	-0.01	202031	Africa		Homo sapiens	Egypt	Egypt		Seadawy et al B				
EGY/EGY-026/2020	2020-08-14		B.1	MT947080	1.00	19A	Older	-0.01	202033	Africa		Homo sapiens	Egypt	Egypt		Seadawy et al C				
EGY/EGY-108/2020	2020-08-26		B.1	MT994948	1.00	19A	Older	-0.01	202035	Africa		Homo sapiens	Egypt	Egypt		Seadawy et al D				
PER/covper095/2020	2020-04-01		B.1	MW030231	3.00	20A	Older	0.03	202014	South America		Homo sapiens	Peru	Peru		Juscamayta et al G				
FIN/hCoV-19-Finland-FIN-25/2020	2020-02-26		B.1	MZ934692	3.00	20A	Older	0.06	202009	Europe		Homo sapiens	Finland	Finland		Smura et al B				
SAU/553/2020	2020-02-13		B.1	MT755889	1.00	20A	Older	0.05	202007	Asia		Homo sapiens	Saudi Arabia	Saudi Arabia		Alosaimi et al				
DEU/C166/2020	2020-12-28		B.1.160	OM462494	3.00	20A	Older	0.09	202053	Europe		Homo sapiens	Germany	Germany		Kieninger et al				
Switzerland/VD-ETHZ-260090/2020	2020-08-25		B.1.160	OU007740	2.00	20A	Older	0.09	202035	Europe		Homo sapiens	Switzerland	Vaud		? B		Computational evolution group,Mattenstrasse 26, Basel	ETH ZURICH D-BSSE	
NOR/Bergen-02/2020	2020-09-25		B.1.160	OM616037	2.00	20A	Older	0.07	202039	Europe		Homo sapiens	Norway	Vestland		Zhou et al A				
FRA/IHUCOVID-013294_Nova1/2020	2020-11-30		B.1.160	ON299068	2.00	20A	Older	0.08	202049	Europe		Homo sapiens	France	France		Levasseur et al A				
TUN/TUN-202058412/2020	2020-11-11		B.1.160	MW295643	2.00	20A	Older	0.13	202046	Africa		Homo sapiens	Tunisia	Tunisia		Boutiba-Ben Boubaker et al A				
FRA/IHUCOVID-050413_Nova1/2021	2021-01-31		B.1.160	ON273105	2.00	20A	Older	0.15	202105	Europe		Homo sapiens	France	France		Levasseur et al B				
TUN/TUN-20211821/2021	2021-01-07		B.1.160	MW463453	2.00	20A	Older	0.08	202101	Africa		Homo sapiens	Tunisia	Tunisia		Boutiba-Ben Boubaker et al B				
SRB/STR04665-11-12/2020	2020-12-11		B.1.160	MW548723	3.00	20A	Older	0.12	202050	Europe		Homo sapiens	Kosovo	Ferizaj		Vidanovic et al A				
EGY/CUNCI-HGC010/2020	2020-05-02		B.1	MT510701	1.00	20A	Older	0.02	202018	Africa		Homo sapiens	Egypt	Egypt		Zekri et al B				
EGY/CUNCI-HGC12I037/2021	2021-01-09		B.1.466	MW533304	1.00	20A	Older	0.08	202101	Africa		Homo sapiens	Egypt	Egypt		Zekri et al C				
